,states,year,quarter,district,trans_counts,amount
398,arunachal-pradesh,2021,2,tirap,46320,144548683.3
399,arunachal-pradesh,2021,2,lower dibang valley,42091,105552358.1
400,arunachal-pradesh,2021,3,papum pare,710098,1995999756
401,arunachal-pradesh,2021,3,west kameng,209165,658232385.7
402,arunachal-pradesh,2021,3,east siang,128957,368061706.2
403,arunachal-pradesh,2021,3,changlang,120126,319705502.4
404,arunachal-pradesh,2021,3,lohit,117879,275160751.4
405,arunachal-pradesh,2021,3,tawang,89052,365404078.4
406,arunachal-pradesh,2021,3,namsai,79292,177380632.2
407,arunachal-pradesh,2021,3,west siang,65763,217065611.3
408,arunachal-pradesh,2021,3,lower dibang valley,50270,133788747
409,arunachal-pradesh,2021,3,tirap,47118,143620525.9
410,arunachal-pradesh,2021,4,papum pare,919925,2435796597
411,arunachal-pradesh,2021,4,west kameng,247346,765859269.3
412,arunachal-pradesh,2021,4,east siang,169617,450185173
413,arunachal-pradesh,2021,4,changlang,147432,403255246.4
414,arunachal-pradesh,2021,4,lohit,142772,328942905.3
415,arunachal-pradesh,2021,4,namsai,105194,220513367.7
416,arunachal-pradesh,2021,4,tawang,99575,412396002.3
417,arunachal-pradesh,2021,4,west siang,79050,267978346.9
418,arunachal-pradesh,2021,4,lower dibang valley,65302,174980099.8
419,arunachal-pradesh,2021,4,lower subansiri,60146,199366119.1
420,arunachal-pradesh,2022,1,papum pare,1163726,2909248439
421,arunachal-pradesh,2022,1,west kameng,240672,705607894
422,arunachal-pradesh,2022,1,east siang,201945,501600929
423,arunachal-pradesh,2022,1,changlang,171494,490549428.8
424,arunachal-pradesh,2022,1,lohit,169954,393361044.5
425,arunachal-pradesh,2022,1,namsai,117173,256004887.6
426,arunachal-pradesh,2022,1,west siang,92331,315562272.6
427,arunachal-pradesh,2022,1,tawang,86721,346661566.5
428,arunachal-pradesh,2022,1,lower dibang valley,83531,235243185.5
429,arunachal-pradesh,2022,1,lower subansiri,73100,239825149.9
430,arunachal-pradesh,2022,2,papum pare,1444757,3269917297
431,arunachal-pradesh,2022,2,west kameng,327925,893486447.6
432,arunachal-pradesh,2022,2,east siang,261162,604825118.2
433,arunachal-pradesh,2022,2,lohit,226199,502322813.6
434,arunachal-pradesh,2022,2,changlang,203732,513287861.1
435,arunachal-pradesh,2022,2,namsai,152652,293920909.2
436,arunachal-pradesh,2022,2,tawang,132824,494351396.8
437,arunachal-pradesh,2022,2,west siang,121772,375530981.6
438,arunachal-pradesh,2022,2,lower dibang valley,104498,271945446.4
439,arunachal-pradesh,2022,2,lower subansiri,94109,287993729.8
